src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
5,4,708,9.165,2018,515,6.657,-193,-2.507999999999999,-27.25988700564972,-27.364975450081825
5,5,0,0.0,2018,0,0.0,0,0.0,,
5,6,638,9.383,2018,366,4.896,-272,-4.486999999999999,-42.63322884012539,-47.820526484066924
5,7,356,4.957,2018,402,5.305,46,0.34799999999999986,12.921348314606742,7.020375226951783
5,8,228,3.28,2018,294,4.243,66,0.9630000000000005,28.947368421052634,29.35975609756099
5,9,769,10.567,2018,576,8.149,-193,-2.418000000000001,-25.097529258777634,-22.88255890981358
5,10,497,5.774,2018,586,9.371,89,3.5970000000000004,17.90744466800805,62.29650155871147
5,11,557,7.616,2018,385,5.131,-172,-2.4849999999999994,-30.879712746858168,-32.62867647058823
5,12,604,7.5,2018,510,6.257,-94,-1.2430000000000003,-15.562913907284766,-16.573333333333338
5,13,645,8.589,2018,479,6.156,-166,-2.4330000000000007,-25.736434108527135,-28.326929793922467
5,14,523,6.172,2018,602,9.354,79,3.1819999999999995,15.105162523900573,51.55541153596889
5,15,295,3.787,2018,268,3.676,-27,-0.11099999999999977,-9.152542372881356,-2.9310800105624444
5,16,569,6.597,2018,588,8.171,19,1.573999999999999,3.3391915641476277,23.859329998484142
5,17,534,6.383,2018,535,6.684,1,0.30100000000000016,0.18726591760299627,4.715650947830176
5,18,774,10.363,2018,616,6.992,-158,-3.3709999999999996,-20.41343669250646,-32.52919038888353
5,19,436,5.862,2018,250,3.349,-186,-2.513,-42.6605504587156,-42.86932787444558
5,20,513,6.493,2018,376,4.881,-137,-1.612,-26.705653021442494,-24.826736485445867
5,21,494,6.428,2018,351,4.806,-143,-1.6219999999999999,-28.947368421052634,-25.23335407591786
5,22,463,5.761,2018,316,3.887,-147,-1.874,-31.749460043196542,-32.529074813400456
5,23,507,7.049,2018,340,4.731,-167,-2.3180000000000005,-32.938856015779095,-32.88409703504044
5,24,457,7.332,2018,409,6.639,-48,-0.6929999999999996,-10.50328227571116,-9.451718494271681
